name,handle,description,followers_count,friends_count,listed_count,favourites_count,created_at,features,firstdate,lastdate,totalreplies,totallikes,totalretweets,mentions,totalengagementrate,ratiod,type,reach,colourval
ben goldacre,bengoldacre,"Doctor, nerd cheerleader, Bad Science person, stats geek, procrastinator. I run https://t.co/0JWfxEVIE9 at @uniofoxford making tools+papers from data ben@badscience.net",482527,3053,8051,2792,Sat Jun 09 23:51:43 +0000 2007,20,15/02/2020,13/01/2020,670,9717,3096,1,0.027942478,10.97882537,other,493526.3568,
martha lane fox,Marthalanefox,Founder @doteveryone Chancellor of @openuniversity + cross bench peer @ukhouseoflords Board @twitter @chanel @queenscomtrust,139454,2793,2627,14302,Sat Feb 28 08:14:31 +0000 2009,30,13/02/2020,26/11/2019,474,1860,237,0,0.018436187,3.014968782,other,140296.005,
emily bell,emilybell,"Prof at Columbia J School. Director - Tow Center for Digital Journalism, Columbia Journalism School. Writes for : @CJR @Guardian also co-host @trickypodcast",76401,8156,3743,29053,Mon Mar 19 10:52:19 +0000 2007,31,14/02/2020,11/02/2020,237,1994,647,15,0.037669664,2.59131637,other,78699.63819,
LSE British Politics,LSEpoliticsblog,Experts analyse and debate recent developments across UK government. Editors: @artemisq & @alicecpark,70248,9002,1678,148,Wed May 19 13:14:50 +0000 2010,24,14/02/2020,12/12/2019,68,884,741,0,0.02410033,1.064010529,other,72880.59799,
Tom Fletcher,TFletcher,"Ex UK Ambassador, No 10. The Foundation for Opportunity helps good people doing good things in public life. Principal-Elect, Hertford College, Oxford Uni.",64967,1804,583,4375,Tue Aug 23 09:53:29 +0000 2011,24,15/02/2020,14/10/2019,311,4327,688,0,0.081980082,7.583041191,other,67411.30151,
Jonathan Portes,jdportes,"Professor of Economics, King's College London; Senior Fellow, UK in a Changing Europe.  Personal views only; usual disclaimers apply.",60077,813,1449,150,Wed Feb 02 20:43:16 +0000 2011,49,13/02/2020,31/01/2020,373,3348,1135,12,0.080829602,5.329790517,other,64109.38693,
David Schneider,davidschneider,"Actor, writer, director, fool. Less ranty version at https://t.co/BYepJwQHP7…",437275,1570,4427,14094,Wed Feb 04 21:47:34 +0000 2009,27,14/02/2020,24/01/2020,27602,659169,180405,8,1.98313647,25.97583626,other,1078211.357,
Matt Forde,mattforde,"Comedian, host of The Political Party, @RnRFootball and @RRD1865. Hopelessly obsessed #NFFC fan. Sign up to the mailing list: https://t.co/iwnLAuNCrW",60763,8471,448,19249,Sun Mar 08 12:55:51 +0000 2009,35,15/02/2020,28/01/2020,628,6773,1226,11,0.141977848,2.3151443,other,65118.68844,
Foreign Office 🇬🇧,foreignoffice,"We work on world affairs for the UK Government and lead on promoting & protecting British people, prosperity & influence",937204,2912,6138,4167,Thu Apr 10 17:21:52 +0000 2008,49,14/02/2020,09/11/2019,7155,63402,37381,21,0.11517023,13.83456306,gov,1070009.864,
DfE,educationgovuk,"Official Twitter account for the Department for Education, covering education, children’s services, HE & FE, apprenticeships, skills in England.",344263,2728,3179,1893,Wed May 12 12:22:56 +0000 2010,23,15/02/2020,30/10/2019,958,10869,6328,28,0.052735844,8.954751438,gov,366744.8894,
Bank of England,bankofengland,"As the UK's central bank we work to ensure low inflation, trust in banknotes and a stable financial system. Follow our Museum account @boemuseum",291256,1474,3758,4,Tue Jan 13 14:06:59 +0000 2009,25,14/02/2020,27/09/2019,481,4670,3085,10,0.028277529,6.531971593,gov,302216.2764,
House of Lords,UKHouseofLords,News & information from the UK Parliament’s second chamber. Produced by its staff to show how the Lords checks and challenges the UK government.,284710,1145,1930,0,Fri Aug 05 09:38:33 +0000 2011,35,14/02/2020,21/01/2020,322,1580,769,0,0.009381476,4.016457286,gov,287442.0754,
Office for National Statistics,ONS,The UK's largest independent producer of official statistics and the recognised national statistical institute of the UK. Contact info https://t.co/kGxjF7A9PN,276271,998,2128,2832,Wed Nov 24 12:16:24 +0000 2010,37,14/02/2020,20/12/2019,267,1665,1705,0,0.01316461,4.241575482,gov,282328.4623,
DWP Press Office,dwppressoffice,Official Twitter channel of the Department for Work and Pensions Press Office. We cannot reply to individual benefit queries on Twitter. https://t.co/GZWhltZjyn,228634,773,770,84,Fri Sep 30 07:05:24 +0000 2011,27,12/02/2020,23/07/2019,5619,5827,2970,0,0.063052739,2.431628545,gov,239185.7085,
CPS,cpsuk,The Crown Prosecution Service is responsible for criminal prosecutions in England & Wales. How we use Twitter: https://t.co/6rGItCcMet,232783,869,899,303,Wed Oct 07 14:23:15 +0000 2009,17,14/02/2020,18/12/2019,696,3649,1605,5,0.025560286,2.613256165,gov,238485.1859,
DCMS,DCMS,"UK Government Department for Digital, Culture, Media and Sport (DCMS). Blog: https://t.co/FuaY8JibQR Facebook: https://t.co/jsRMgvChpO",223873,1321,1902,4633,Mon Dec 29 12:57:08 +0000 2008,24,14/02/2020,05/11/2019,506,5490,2395,0,0.037481072,8.229274985,gov,232381.8693,
London Fire Brigade,LondonFire,London Fire Brigade's official Twitter feed with all the latest news and live updates. Don't report incidents here.,217861,1723,1760,3611,Fri Aug 20 13:20:57 +0000 2010,18,15/02/2020,05/02/2020,159,5342,1072,0,0.030170613,10.61541836,gov,221669.5628,
No.10 Press Office,Number10press,Official Twitter channel for the UK Prime Minister's press office.,149929,500,1404,44,Tue Nov 29 10:45:17 +0000 2011,62,03/09/2016,02/03/2016,1286,2861,3209,0,0.049063223,2.880979716,gov,161329.8191,
BBC Parliament,BBCParliament,BBC Parliament: Pure politics. Freeview Channel 232,56924,1942,1095,361,Wed Sep 23 12:51:09 +0000 2009,29,14/02/2020,15/10/2019,2114,6156,2182,0,0.183613239,4.704745995,gov,64676.13065,
Leave.EU,LeaveEUOfficial,Ensuring the will of the British people is respected following our historic vote to leave the European Union | 🙋‍♂️ Support us: https://t.co/TgVkwKplTz,284437,745,1299,2107,Mon Jul 06 08:21:07 +0000 2015,35,15/02/2020,04/01/2020,39433,480101,155484,0,2.373172267,15.63127561,issue,836834.9296,
Momentum,PeoplesMomentum,"Momentum is a people-powered movement. We aim to transform the Labour Party, our communities & Britain in the interests of the many. Join us https://t.co/yFw1XBZGkK",156701,5144,1053,6786,Wed Sep 23 17:09:28 +0000 2015,45,15/02/2020,03/12/2019,15336,141316,77487,0,1.494176808,15.30097778,issue,431994.0101,
People's Vote UK,peoplesvote_uk,"Let us have a final say referendum where we trust the people, not Boris Johnson, to solve the Brexit crisis. #PeoplesVote",152046,1318,758,3894,Mon Sep 07 08:11:46 +0000 2015,38,30/01/2020,06/12/2019,6437,49852,30181,46,0.56870947,18.07551173,issue,259271.9648,
Vote Leave,vote_leave,Vote Leave - campaign for a 'leave' vote in EU referendum. End supremacy of EU law. Take control. Invest in NHS & science. The safer choice.,62505,454,452,628,Fri Sep 18 10:47:15 +0000 2015,34,23/06/2016,21/06/2016,4242,47161,51928,0,1.653163747,18.23266834,issue,246992.9196,
Tony Blair Institute,InstituteGC,"The Tony Blair Institute for Global Change is a not-for-profit organisation dedicated to making globalisation work for the many, not the few.",213566,712,2186,1188,Mon Jun 07 12:47:20 +0000 2010,55,14/02/2020,18/12/2019,2059,13984,4586,0,0.096593091,8.995281,issue,229858.9749,
People's Vote HQ,peoplesvote_hq,"Let us have a final say referendum where we trust the people, not Boris Johnson, to solve the Brexit crisis. #PeoplesVote",97401,664,920,1,Tue Jun 23 17:40:00 +0000 2015,38,03/10/2019,12/12/2018,1437,9476,5002,0,0.16339668,10.05152635,issue,115171.9246,
CBI,CBItweets,"Follow to be the first to get business thinking, economic data & policy reaction from the voice of UK enterprise.  
Director General - @CBICarolyn",100765,2600,1281,1918,Thu May 14 14:59:38 +0000 2009,22,14/02/2020,18/11/2019,279,1293,809,0,0.023629236,2.141441483,issue,103639.1859,
IPPR,IPPR,"IPPR, the Institute for Public Policy Research, is the UK’s leading progressive think tank | Home of the Centre for Economic Justice",81591,4061,1769,1876,Tue Feb 03 15:18:15 +0000 2009,36,14/02/2020,18/11/2019,105,1749,1146,0,0.036768761,2.582962431,issue,85662.46734,
Electoral Reform Society,electoralreform,The Electoral Reform Society is an independent campaigning organisation working to build a better democracy. Sign up for updates: https://t.co/wgd9QJpDzd,53690,1055,713,2629,Mon Jun 16 14:02:21 +0000 2008,18,13/02/2020,19/01/2020,329,9679,4161,4,0.263903893,13.71014229,issue,68473.05025,
The Fabian Society,thefabians,The UK’s original left-wing thinktank & membership network. The future of the left since 1884. RT's not endorsements.,52018,3784,1183,1170,Wed Jan 07 13:32:50 +0000 2009,29,15/02/2020,29/10/2019,201,2000,1161,18,0.064631474,3.646750848,issue,56142.75879,
Institute for Gov,instituteforgov,The leading think tank working to make government more effective.,50519,645,1185,2750,Wed Apr 28 15:15:57 +0000 2010,46,15/02/2020,31/01/2020,100,547,474,7,0.022189671,0.789148122,issue,52203.01005,
Brendan Cox,MrBrendanCox,"Dad, campaigner and boat dweller #MoreInCommon",82759,1470,461,4824,Thu Apr 15 18:12:59 +0000 2010,27,14/02/2020,12/12/2019,4033,112028,10651,0,1.531096316,18.15366826,issue,120599.4874,
Kezia Dugdale,kezdugdale,Director of the John Smith Centre for Politics & Public Service | Promoting healthy politics/civilised disagreement | Board member @sistemascotland,85936,4846,668,8017,Mon Feb 02 21:37:14 +0000 2009,27,11/02/2020,26/10/2019,3105,22646,2262,3,0.325975144,7.078359707,issue,93972.35176,
Nicholas Watt,nicholaswatt,Political Editor BBC Newsnight,66376,2492,1324,145,Mon Mar 30 18:14:55 +0000 2009,76,15/02/2020,24/10/2019,3445,15327,5766,20,0.369681813,4.501313561,jouno,86861.23618,
(((Zoe Williams))),zoesqwilliams,"Writer, bon viveur",69924,1815,962,3692,Fri Sep 09 08:48:22 +0000 2011,26,15/02/2020,16/01/2020,1592,2831,388,20,0.068803272,3.434648919,jouno,71302.47236,
Piers Morgan,piersmorgan,"'One day you're cock of the walk, the next a feather duster’ - Margot Barber.",7104359,1811,19227,7,Tue Nov 16 09:37:44 +0000 2010,36,15/02/2020,03/02/2020,57871,514492,56562,60,0.088526636,11.02696644,journo,7305310.427,
Jon Snow,jonsnowC4,"Anchor, @Channel4News: hungry for info. Interests:development/homelessness,/the abroad/people/politics/art./life!",1388450,540,7356,58,Wed Mar 31 13:21:25 +0000 2010,58,14/02/2020,12/06/2019,22764,370747,99966,0,0.355415751,18.80503915,journo,1743605.588,
richard bacon,richardpbacon,Views expressed here are the BBC's. Not my own. I live in LA. Instagram@Richardpbacon,1302090,1833,3782,1332,Thu Jan 08 14:28:21 +0000 2009,22,13/02/2020,22/11/2019,2090,25674,2736,17,0.02342388,8.400014204,journo,1311810.362,
Andrew Neil,afneil,"Chairman @Spectator, @spectatorUSA, @Spectator Australia, @Apollo_Magazine, BBC presenter #politicslive @bbcthisweek Tweets reflect my analysis and mine alone.",1012048,367,4974,107,Thu Apr 22 19:41:25 +0000 2010,74,14/02/2020,27/12/2019,41918,331407,63144,54,0.431273023,8.841197336,journo,1236383.719,
Laura Kuenssberg,bbclaurak,"I know it's fashionable, but even in 2019 there is nothing big or clever about shooting the messenger - tweets or retweets here aren't necessarily my view",1138342,1573,8753,106,Wed Jul 29 12:34:03 +0000 2009,79,14/02/2020,13/12/2019,47370,113611,22632,71,0.161298626,3.214363947,journo,1218748.151,
Owen Jones🌹,OwenJones84,"Socialist, antifascist, Guardian columnist, author, losing my Northern accent every passing day. Sad. Got a story/injustice? DMs open in strict confidence🏳️‍🌈",951103,5479,7311,6021,Wed Aug 12 14:09:35 +0000 2009,45,15/02/2020,23/01/2020,13363,176170,26664,0,0.227311868,12.47273547,journo,1045833.894,
Nick Robinson,bbcnickrobinson,"Presenter, Today & Political Thinking, BBC Radio 4. Former BBC/ITV Political Editor. Author, Election Notebook & Live from Downing Street",964157,506,5995,1153,Mon Mar 23 11:20:34 +0000 2009,74,13/02/2020,03/11/2019,29964,83098,19819,25,0.137820915,5.307479567,journo,1034569.226,
Carole Cadwalladr,carolecadwalla,Late adopter. Late giver-upper. Guardian & Observer writer.,455147,3260,3510,7917,Sat Jul 28 14:06:01 +0000 2012,37,15/02/2020,03/01/2020,18933,552697,161685,5,1.61116079,46.14766905,journo,1029575.618,
Eamonn Holmes,EamonnHolmes,"TV Presenter & Radio host Listen to me on @talkRADIO | Mon - Thu | 4-7PM 

Eamonn and The Gaffers Podcast Available now!
Click the link below:",997168,8763,2299,24008,Mon Oct 12 14:40:26 +0000 2009,20,14/02/2020,28/12/2019,5641,132353,2700,0,0.141093577,9.833600318,journo,1006760.462,
Mehdi Hasan,mehdirhasan,"Columnist, The Intercept. Host, Deconstructed podcast. Presenter, Al Jazeera English TV shows (UpFront & Head to Head). A Brit now based in DC.",804197,2642,6269,2064,Wed Apr 07 16:57:33 +0000 2010,51,15/02/2020,08/02/2020,9538,171438,36793,9,0.270790615,17.07456892,journo,934913.8392,
Krishnan Guru-Murthy,krishgm,Anchor Channel 4 News and Unreported World and the Ways to Change the World podcast on spotify and itunes. email krishnan@channel4.com,578805,4634,3822,648,Thu Oct 30 09:13:06 +0000 2008,56,13/02/2020,18/11/2019,16432,266529,78721,13,0.624877118,13.42583097,journo,858482.1206,
James O'Brien,mrjamesob,Podcast: https://t.co/QDF7VzT01q Book: https://t.co/erVrp6lUdz Radio: https://t.co/j6kHODg5Vo,577563,2643,2791,43170,Sun Jun 06 14:46:00 +0000 2010,41,15/02/2020,30/01/2020,20944,413792,74737,31,0.882108099,19.05994996,journo,843085.9095,
Jeremy Vine,theJeremyVine,"Thick as thieves us, we stick together for all time.",719156,10789,2089,29914,Fri Jul 08 15:01:21 +0000 2011,39,15/02/2020,05/02/2020,12780,26069,4000,0,0.059582344,3.476713285,journo,733367.0553,
Robert Harris,Robert___Harris,"Writer. Fatherland, Enigma, Archangel, Pompeii, Imperium, The Ghost, Lustrum, The Fear Index, An Officer & A Spy, Dictator, Conclave, Munich, The Second Sleep",72558,624,569,2852,Fri Aug 14 12:18:06 +0000 2015,34,21/01/2020,20/10/2018,21038,605370,176520,0,11.06601615,22.61713314,journo,699691.8693,
Susanna Reid,susannareid100,"Presenter, journalist, columnist. “Liberal snowflake TV clothes horse” #GoodMorningBritain @gmb gmb@itv.com @dailymailuk
Honorary Patron @palaceforlife",642401,9173,1765,50173,Sun Jan 25 04:24:07 +0000 2009,33,15/02/2020,07/10/2019,19846,199175,8724,8,0.354521553,11.61957843,journo,673395.3116,
Paul Mason,paulmasonnews,"Journalist, film-maker & author.",626658,3730,6152,40384,Sat Jan 31 10:31:39 +0000 2009,53,14/02/2020,05/01/2020,10312,35630,8231,15,0.086447472,5.255004949,journo,655900.799,
Gavin Esler,gavinesler,Writer. Chancellor UniKent. CONTACT: lfennimore@noelgay.com; literary agent David Higham Ltd. New Book  “Brexit Without The Bullshit”  https://t.co/tXh4Fk8iqm,77828,2011,750,18718,Tue Aug 03 15:45:18 +0000 2010,24,15/02/2020,05/11/2019,14464,290188,105604,0,5.271316236,28.56081348,journo,453014.0704,
Andrew Rawnsley,andrewrawnsley,"The Observer's award-winning Chief Political Commentator, critically-acclaimed broadcaster and author of Number One best-seller, The End of the Party.",408480,324,2177,6,Tue Sep 29 22:24:37 +0000 2009,67,09/02/2020,22/07/2018,3451,31372,9410,1,0.108286819,8.408045311,journo,441911.5075,
Jamie Ross,JamieRoss7,Journalist for @thedailybeast. Send all tips and abuse to jamie.ross@thedailybeast.com.,251117,1299,1018,17580,Mon Feb 02 19:45:56 +0000 2009,36,08/08/2019,14/05/2018,3894,204416,48349,0,1.022069394,29.14781912,journo,422889.5779,
Daniel Finkelstein,Dannythefink,"Times columnist, Conservative member of the House of Lords and father of three.",395353,1528,1869,1735,Sun Jul 12 19:29:27 +0000 2009,73,15/02/2020,24/01/2020,453,7640,538,0,0.021831123,4.647041956,journo,397264.3869,
Ian Dunt,IanDunt,"Jumped-up baldy. Editor of https://t.co/wOraaKxK8o. Host on @RemainiacsCast. Author of Brexit: What The Hell Happens Now? New book, How To Be A Liberal, comes out 2020.",262676,3806,3172,63930,Wed Feb 18 14:58:28 +0000 2009,42,15/02/2020,29/01/2020,8036,179025,35599,0,0.847660235,17.0932842,journo,389150.8392,
Marina Hyde,MarinaHyde,Guardian columnist,303516,2278,2395,16858,Tue May 31 09:27:50 +0000 2011,46,15/02/2020,14/12/2019,3700,48960,9865,0,0.206002319,9.435366721,journo,338564.0151,
Julia Hartley-Brewer,JuliaHB1,"@talkRADIO Breakfast Show presenter 6.30am-10am Mon-Fri. Journalist, broadcaster, after-dinner speaker, awards host. Preferred pronoun: she/her imperial majesty",203889,328,1429,22412,Mon Jan 09 16:23:03 +0000 2012,42,14/02/2020,06/02/2020,20510,178564,29584,0,1.121482768,9.554883004,journo,308993.9648,
Isabel Oakeshott,IsabelOakeshott,Political Journalist and Commentator. Scoop getter and feather ruffler.,147626,928,1378,2055,Thu Dec 15 21:31:17 +0000 2011,65,12/02/2020,30/09/2019,28991,185688,40218,0,1.726640294,5.880904018,journo,290511.0553,
Chris Williamson #GTTO,DerbyChrisW,"Former MP for Derby North | Former Derby Council Leader | Vegan | Interested in democracy, foreign affairs, local govt + more",66028,3810,730,6061,Mon Jun 22 16:39:04 +0000 2009,21,15/02/2020,29/12/2019,7083,108913,62491,0,2.703201672,18.40007198,journo,288043.7638,
Grace Dent,gracedent,BBC Radio 4 + Radio 2. BBC1 Masterchef  HUNGRY- Harper Collins. Coming September 2020.  Every Saturday in The Guardian.,260122,3608,2379,12293,Wed Jun 04 07:55:48 +0000 2008,18,15/02/2020,09/12/2019,3387,37030,4926,0,0.17431436,5.120861946,journo,277622.9146,
emily m,maitlis,"Presenter Newsnight, 22:30, Monday to Friday BBC2. BBC elections. Films with Donald Trump, Mark Zuckerberg, James Comey , Bill Clinton. Terrible typing.",215711,1325,1804,10150,Wed Feb 11 21:43:47 +0000 2009,60,14/02/2020,17/10/2019,8330,82045,16996,65,0.497753939,11.44714931,journo,276093.7739,
Fraser Nelson,FraserNelson,Editor of The Spectator. Try a month for free: https://t.co/Xj9gQF4tRo. Daily Telegraph columnist,233872,2269,2890,2988,Thu Feb 25 10:15:49 +0000 2010,79,15/02/2020,26/01/2020,4861,31011,8191,0,0.188406479,5.771872112,journo,262972.6884,
katya adler,BBCkatyaadler,BBC Europe Editor,166950,674,2239,137,Tue Oct 18 20:58:52 +0000 2011,52,05/02/2020,24/10/2019,6246,66170,24081,0,0.577999401,17.92668484,journo,252504.1055,
Raheem Kassam,RaheemKassam,Author and Co-Host of @WarRoom2020 podcast: https://t.co/mPydLuAQUa // Fellow at American Principles Project: @APProject,169642,2012,1531,23728,Sun Mar 21 19:58:27 +0000 2010,20,15/02/2020,31/01/2020,4003,70706,19673,0,0.556359864,12.54743763,journo,239535.5226,
Barry Gardiner,BarryGardiner,Proud to be elected to serve my community for the 7th time as the MP for Brent North. Shadow Secretary of State for International Trade.,87858,3902,1059,1067,Sat Jan 23 14:12:17 +0000 2010,37,15/02/2020,08/05/2019,9866,101719,41994,0,1.748036605,14.47589921,journo,237052.7638,
Afua Hirsch,afuahirsch,"Wallis Annenberg Chair of Journalism @USC. Broadcaster, @BookerPrize 2019, columnist @guardian, co-creator @sikadesigns, author Brit(ish) & Equal To Everything",117095,9655,1295,2405,Thu Feb 05 10:57:43 +0000 2009,21,13/02/2020,18/07/2019,6018,105019,33610,2,1.235296127,16.44830928,journo,236503.392,
Jon Swaine,jonswaine,Reporter for @washingtonpost investigations • jon.swaine@washpost.com • Signal: +1-646-926-0436,58948,2757,2142,15789,Sat Jan 31 15:08:33 +0000 2009,37,13/02/2020,05/04/2019,10912,94707,48808,0,2.619715682,11.68771929,journo,232351.2965,
Cathy Newman,cathynewman,I present Channel 4 News and love breaking exclusive stories and interviews. Instagram cathynewmanc4 Agent https://t.co/QGTkFbj9e2,188139,850,2291,5177,Tue Jun 16 09:15:37 +0000 2009,70,13/02/2020,18/10/2019,5676,40187,11486,11,0.304822498,7.274886396,journo,228946.0452,
Adam Boulton,adamboultonSKY,Presenter All Out Politics. Editor at Large. Sunday Times political columnist. I RT what amuses or interests me inc. criticism. RT is not an endorsement.,168177,1467,2323,256,Mon Mar 03 15:43:32 +0000 2008,72,15/02/2020,28/12/2019,10211,47143,12587,0,0.41587732,3.782862242,journo,212895.6382,
Tom Newton Dunn,tnewtondunn,"Political Editor of The Sun and #AFC season ticket holder. Views my own, on Brexit or the Gunners. DMs open, or t.newtondunn@the-sun.co.uk",145496,1297,2170,567,Wed Feb 11 15:54:25 +0000 2009,74,14/02/2020,29/12/2019,14900,48464,17356,5,0.554791884,4.859477585,journo,207157.7688,
Paul Waugh,paulwaugh,"Executive Editor, Politics, HuffPost UK. News, insight and analysis from the House of Commons. 
Presenter, BBC Radio 4's The Week In Westminster.",158813,8550,3447,2927,Fri Mar 27 11:14:29 +0000 2009,80,15/02/2020,03/02/2020,3669,26563,11666,43,0.263819712,5.967871812,journo,200259.5427,
Huw Edwards,huwbbc,Presenter BBC News at Ten 📺 Cymro yn Llundain 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Llanelli boy and Scarlets 🏉 fan. Views my own. Retweets not.,88183,4822,558,14039,Thu Dec 23 20:45:30 +0000 2010,46,14/02/2020,27/11/2018,24597,219764,30050,10,3.111835615,21.28199587,journo,194943.5528,
Jeremy Bowen,BowenBBC,BBC Middle East Editor. Instagram jeremy.bowen,180599,1939,3149,4216,Mon May 25 22:22:51 +0000 2009,39,12/02/2020,16/10/2019,1354,17366,3141,0,0.121047182,9.562043729,journo,191758.2312,
Polly Toynbee,pollytoynbee,"Polly Toynbee is a Guardian columnist, formerly BBC social affairs editor. Her latest  book, with David Walker, is Dismembered, following on from Cameron's Coup",169826,1014,2515,115,Mon Dec 13 15:27:25 +0000 2010,43,15/02/2020,19/09/2019,2331,14093,5618,8,0.129791669,7.347461102,journo,189785.4271,
Victoria Derbyshire,vicderbyshire,"Journo. 10am BBC2 Mon-Fri. RTS Presenter of Year, RTS Interview of Year, BAFTA winner. Enquiries: meryl.hoffman@curtisbrown.co.uk",105910,1429,953,10703,Tue Feb 03 10:45:42 +0000 2009,24,15/02/2020,20/01/2020,7172,122256,22292,27,1.43253706,8.593801725,journo,185108.2111,
Rory Cellan-Jones,ruskin147,The BBC's technology correspondent . This is my personal profile - if you don't like the dog etc go to @BBCRoryCJ ♥️ not= ★,180452,5775,3645,13333,Fri Mar 16 15:46:23 +0000 2007,27,15/02/2020,23/01/2020,949,7498,1052,5,0.052640037,8.110025394,journo,184189.5075,
Katharine Viner,KathViner,"Editor-in-chief, Guardian News & Media",111214,3240,2336,3826,Sat Mar 28 11:12:08 +0000 2009,55,29/01/2020,07/01/2018,4952,68880,19954,0,0.843293111,13.55974382,journo,182105.8492,
Tim Montgomerie,montie,,160782,847,2563,1386,Fri Sep 05 03:13:55 +0000 2008,72,12/02/2020,15/12/2019,6001,33501,5824,9,0.281909667,5.301132076,journo,181473.2965,
Helen Lewis,helenlewis,"Staff Writer, @theatlantic | 27 February: DIFFICULT WOMEN: A History Of Feminism in 11 Fights (Jonathan Cape) | Tweets auto-destruct.",119578,1234,1702,8790,Mon Jun 18 14:08:58 +0000 2007,48,15/02/2020,29/03/2019,3277,67089,14367,15,0.708600244,15.03771304,journo,170620.5578,
Hadley Freeman,HadleyFreeman,"Welder by day, dancer by night",162417,3266,1278,9273,Mon Jul 11 20:24:51 +0000 2011,26,15/02/2020,29/01/2020,1190,18642,1305,0,0.130140318,6.76900575,journo,167053.3568,
Angus Robertson,AngusRobertson,"Managing Director: @progressscot Advisory Council: @scotpolicyfund Formerly diplomatic affairs correspondent, broadcaster and parliamentarian.",71487,739,844,1599,Wed Apr 15 09:16:53 +0000 2009,43,15/02/2020,06/10/2019,5977,66661,26522,0,1.387105348,19.69016731,journo,165713.402,
India Knight,indiaknight,"I write columns for the Sunday Times and books for Penguin. Darling, a 21st century homage to The Pursuit of Love, out 2020.",162472,2929,2045,39727,Tue Jan 27 12:02:31 +0000 2009,26,15/02/2020,07/02/2020,480,4335,219,33,0.0309838,3.423497027,journo,163388.1716,
Emma Barnett,Emmabarnett,BBC Broadcaster & journalist: Mornings @BBC5Live #EmmaBarnettShow | Evenings @BBCNewsnight & @BBCWomansHour | Columnist @TheSundayTimes | Author: Period. ⬇️,141792,10861,1911,21806,Fri Jan 16 12:33:12 +0000 2009,44,13/02/2020,03/12/2019,3437,20508,4096,0,0.19776151,5.993156485,journo,156344.1206,
